Thu May 11 18:40:22 2023    stats/output.dat

         6619183 function calls (6619177 primitive calls) in 34.955 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   963549    1.234    0.000    1.234    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
   498156    0.067    0.000    0.067    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\entity.py:125(get_view_angle)
   482283    0.905    0.000    0.905    0.000 {built-in method numpy.array}
   479571    0.221    0.000    0.272    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\entity.py:122(get_view_angle_in_degrees)
   479571    0.076    0.000    0.076    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\entity.py:131(draw_view_range)
   479571    0.300    0.000    0.300    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\entity.py:97(set_nearby_objects)
   479571    0.294    0.000    0.294    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\entity.py:94(update_view_angle)
   479571    0.819    0.000    1.362    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\entity.py:34(move)
   479571    0.165    0.000    0.165    0.000 {built-in method math.cos}
   479571    0.051    0.000    0.051    0.000 {built-in method math.degrees}
   479571    0.084    0.000    0.084    0.000 {built-in method math.sin}
   479571    0.087    0.000    0.087    0.000 {method 'get_rect' of 'pygame.surface.Surface' objects}
   116616    0.116    0.000    0.116    0.000 {built-in method pygame.draw.line}
   115260    0.024    0.000    0.024    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\data_structures.py:24(get)
    18585    0.003    0.000    0.003    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\entity.py:58(get_position)
     9507    0.047    0.000    0.050    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\predator.py:51(in_range_of_view)
     9078    0.038    0.000    0.040    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\prey.py:33(in_range_of_view)
     8197    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
     6330    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     6105    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     4815    0.002    0.000    0.002    0.000 {built-in method builtins.len}
     4708    0.001    0.000    0.001    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\entity.py:91(is_dead)
     4014    0.001    0.000    0.001    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\entity.py:101(stop)
